OR,OR_lb,OR_ub,pvalue,tag,buff,spa,LiPMScov,entN_essentialN,entY_essentialN,entN_essentialY,entY_essentialY,total_res,n,label
0.9426691729323308,0.5677238844011059,1.6436158699456564,0.8914728160039187,AF_all_CD_spa0_LiPMScov50,CD,0,50,68,152,28,59,307,307,AF
0.9426691729323308,0.5553404140756575,1.6468624424048797,0.8914728160039187,AF_all_CD_spa10_LiPMScov50,CD,10,50,68,152,28,59,307,307,AF
0.9426691729323308,0.5582033844401075,1.68288271659847,0.8914728160039187,AF_all_CD_spa20_LiPMScov50,CD,20,50,68,152,28,59,307,307,AF
0.9288063909774436,0.5518868239834527,1.6395568783068777,0.7857118823711502,AF_all_CD_spa30_LiPMScov50,CD,30,50,67,152,28,59,306,306,AF
0.9149436090225564,0.5345561448477082,1.6066129636567998,0.7841302121881398,AF_all_CD_spa40_LiPMScov50,CD,40,50,66,152,28,59,305,305,AF
0.8930936613055819,0.5223494782795628,1.5646155002405002,0.6809945586539459,AF_all_CD_spa50_LiPMScov50,CD,50,50,64,151,28,59,302,302,AF
0.7830598455598455,0.454192491363544,1.3989593903839426,0.3971587683627993,AF_all_CD_spa60_LiPMScov50,CD,60,50,55,148,28,59,290,290,AF
0.7153134635149023,0.405641689922205,1.2584940825228832,0.2478074246362174,AF_all_CD_spa70_LiPMScov50,CD,70,50,48,139,28,58,273,273,AF
0.6077294685990338,0.3281224751846722,1.1096152508477524,0.1202892022064529,AF_all_CD_spa80_LiPMScov50,CD,80,50,37,115,27,51,230,230,AF
0.3534540576794098,0.1547619047619047,0.7506148236092262,0.0101370072941995,AF_all_CD_spa90_LiPMScov50,CD,90,50,17,71,21,31,140,140,AF
0.9052047642356011,0.5476394849785408,1.5545282124229494,0.6937253458469308,AF_all_CG_spa0_LiPMScov50,CG,0,50,76,227,27,73,403,403,AF
0.9052047642356011,0.5517071032152384,1.5506748919897124,0.6937253458469308,AF_all_CG_spa10_LiPMScov50,CG,10,50,76,227,27,73,403,403,AF
0.9052047642356011,0.5517237232754474,1.552070541777762,0.6937253458469308,AF_all_CG_spa20_LiPMScov50,CG,20,50,76,227,27,73,403,403,AF
0.8813835862294012,0.5299456863586377,1.528900979083222,0.6901412408437431,AF_all_CG_spa30_LiPMScov50,CG,30,50,74,227,27,73,401,401,AF
0.8694729972263012,0.524652849565893,1.497673416630762,0.5958155957857065,AF_all_CG_spa40_LiPMScov50,CG,40,50,73,227,27,73,400,400,AF
0.8575624082232012,0.522378908645003,1.4789296310629516,0.5932968843652244,AF_all_CG_spa50_LiPMScov50,CG,50,50,72,227,27,73,399,399,AF
0.8319088319088319,0.5036894925134638,1.451896676583418,0.5011686317459205,AF_all_CG_spa60_LiPMScov50,CG,60,50,68,221,27,73,389,389,AF
0.7797029702970297,0.453248009489858,1.4093712189791496,0.3869732940909344,AF_all_CG_spa70_LiPMScov50,CG,70,50,54,202,24,70,350,350,AF
0.6271645021645021,0.3400568823254064,1.1545098039215689,0.1589385077203519,AF_all_CG_spa80_LiPMScov50,CG,80,50,38,154,24,61,277,277,AF
0.4646314221891288,0.2004163974100683,1.0277777777777777,0.0667168595731175,AF_all_CG_spa90_LiPMScov50,CG,90,50,16,79,17,39,151,151,AF
0.9136963696369635,0.6023809523809524,1.4351562380391016,0.7417857808034027,AF_all_C_spa0_LiPMScov50,C,0,50,113,303,40,98,554,554,AF
0.9136963696369635,0.6057612921544644,1.4305687616130844,0.7417857808034027,AF_all_C_spa10_LiPMScov50,C,10,50,113,303,40,98,554,554,AF
0.9136963696369635,0.6005820841280523,1.422710956219578,0.7417857808034027,AF_all_C_spa20_LiPMScov50,C,20,50,113,303,40,98,554,554,AF
0.9056105610561056,0.6,1.3932526212129988,0.6606649863568653,AF_all_C_spa30_LiPMScov50,C,30,50,112,303,40,98,553,553,AF
0.9056105610561056,0.5915316088742588,1.4205660850476085,0.6606649863568653,AF_all_C_spa40_LiPMScov50,C,40,50,112,303,40,98,553,553,AF
0.8437086092715231,0.5574684149258832,1.322793073767389,0.4365407039434257,AF_all_C_spa50_LiPMScov50,C,50,50,104,302,40,98,544,544,AF
0.8558558558558559,0.5582243029359519,1.3518138029261155,0.491896780728793,AF_all_C_spa60_LiPMScov50,C,60,50,95,294,37,98,524,524,AF
0.7058332463737869,0.4464520567888415,1.1349292615596962,0.1459636053270422,AF_all_C_spa70_LiPMScov50,C,70,50,76,259,37,89,461,461,AF
0.5801514154048716,0.3425426136363637,0.990461300309597,0.0502507942785196,AF_all_C_spa80_LiPMScov50,C,80,50,47,196,31,75,349,349,AF
0.4301075268817204,0.2102830327636672,0.8470685197155784,0.0225635220942315,AF_all_C_spa90_LiPMScov50,C,90,50,20,93,25,50,188,188,AF
1.013947847180109,0.5340524072966507,2.101997552019584,1.0,EXP_all_CD_spa0_LiPMScov50,CD,0,50,38,97,17,44,196,196,EXP
1.013947847180109,0.5319567900130561,2.073108258353335,1.0,EXP_all_CD_spa10_LiPMScov50,CD,10,50,38,97,17,44,196,196,EXP
1.013947847180109,0.5321463624095203,2.134387351778656,1.0,EXP_all_CD_spa20_LiPMScov50,CD,20,50,38,97,17,44,196,196,EXP
0.987265009096422,0.5012576255798762,2.060606060606061,1.0,EXP_all_CD_spa30_LiPMScov50,CD,30,50,37,97,17,44,195,195,EXP
0.960582171012735,0.4841871665777224,2.0454545454545454,1.0,EXP_all_CD_spa40_LiPMScov50,CD,40,50,36,97,17,44,194,194,EXP
0.9072164948453608,0.4603960396039604,1.903909574468084,0.8609458025658798,EXP_all_CD_spa50_LiPMScov50,CD,50,50,34,97,17,44,192,192,EXP
0.8538508186779866,0.4366193181818181,1.8064443530701737,0.7230280574919492,EXP_all_CD_spa60_LiPMScov50,CD,60,50,32,97,17,44,190,190,EXP
0.8763736263736264,0.4221553411525361,1.8777685980099856,0.7184015092369926,EXP_all_CD_spa70_LiPMScov50,CD,70,50,29,91,16,44,180,180,EXP
0.8441558441558441,0.3928170594837261,1.9142187379016624,0.7017928132884506,EXP_all_CD_spa80_LiPMScov50,CD,80,50,25,77,15,39,156,156,EXP
0.4615384615384615,0.1564821327602655,1.2765957446808511,0.1336123619344288,EXP_all_CD_spa90_LiPMScov50,CD,90,50,11,52,11,24,98,98,EXP
1.0080988917306053,0.5344892989663399,2.05119724025974,1.0,EXP_all_CG_spa0_LiPMScov50,CG,0,50,43,138,17,55,253,253,EXP
1.0080988917306053,0.5422554320507385,2.045801526717557,1.0,EXP_all_CG_spa10_LiPMScov50,CG,10,50,43,138,17,55,253,253,EXP
1.0080988917306053,0.5367074547832467,2.0034302819718026,1.0,EXP_all_CG_spa20_LiPMScov50,CG,20,50,43,138,17,55,253,253,EXP
0.9612105711849958,0.5150576464351975,1.950038265306122,1.0,EXP_all_CG_spa30_LiPMScov50,CG,30,50,41,138,17,55,251,251,EXP
0.9612105711849958,0.508656790229638,1.9218843056257224,1.0,EXP_all_CG_spa40_LiPMScov50,CG,40,50,41,138,17,55,251,251,EXP
0.9682267067410906,0.5162967391304347,1.96801875,1.0,EXP_all_CG_spa50_LiPMScov50,CG,50,50,41,137,17,55,250,250,EXP
0.9000442282176029,0.4754163517700112,1.8274809160305343,0.7387407557110848,EXP_all_CG_spa60_LiPMScov50,CG,60,50,37,133,17,55,242,242,EXP
1.046904315196998,0.5280210136271666,2.4207991452991444,1.0,EXP_all_CG_spa70_LiPMScov50,CG,70,50,31,123,13,54,221,221,EXP
0.965034965034965,0.4704431818181818,2.214114086573734,1.0,EXP_all_CG_spa80_LiPMScov50,CG,80,50,27,99,13,46,185,185,EXP
0.7471264367816092,0.2799959432048682,2.204303160919538,0.6209111105964729,EXP_all_CG_spa90_LiPMScov50,CG,90,50,13,58,9,30,110,110,EXP
1.1065573770491803,0.6494604456105717,1.9867115363338272,0.7855240211539205,EXP_all_C_spa0_LiPMScov50,C,0,50,60,183,24,81,348,348,EXP
1.1065573770491803,0.6590640412727241,1.978726218619836,0.7855240211539205,EXP_all_C_spa10_LiPMScov50,C,10,50,60,183,24,81,348,348,EXP
1.1065573770491803,0.6506597903361131,2.018056424697537,0.7855240211539205,EXP_all_C_spa20_LiPMScov50,C,20,50,60,183,24,81,348,348,EXP
1.1065573770491803,0.6550604145685281,1.981203007518797,0.7855240211539205,EXP_all_C_spa30_LiPMScov50,C,30,50,60,183,24,81,348,348,EXP
1.1065573770491803,0.6566446352867069,1.9675420897416755,0.7855240211539205,EXP_all_C_spa40_LiPMScov50,C,40,50,60,183,24,81,348,348,EXP
1.0512295081967211,0.6265732139841244,1.894599930887157,0.8911168692578432,EXP_all_C_spa50_LiPMScov50,C,50,50,57,183,24,81,345,345,EXP
1.078921078921079,0.626105943738657,1.9695678211031635,0.8873442183425448,EXP_all_C_spa60_LiPMScov50,C,60,50,54,182,22,80,338,338,EXP
0.8881239242685026,0.5001919882170996,1.6538132879390548,0.7605993538528588,EXP_all_C_spa70_LiPMScov50,C,70,50,43,166,21,72,302,302,EXP
0.9125333333333332,0.4630536277201545,1.9696969696969695,0.8581799115402806,EXP_all_C_spa80_LiPMScov50,C,80,50,29,125,15,59,228,228,EXP
0.6307692307692307,0.2519086695232705,1.542857142857143,0.3739467077319912,EXP_all_C_spa90_LiPMScov50,C,90,50,13,65,13,41,132,132,EXP
