buff,timepoint,spa_threshold,LiPMScov_threshold,all_genes_n,essential_genes_n,nonessential_genes_n,essential_ent_genes_n,nonessential_ent_genes_n,essential_nonent_genes_n,nonessential_nonent_genes_n,refolded_genes_n,nonrefolded_genes_n,ent_genes_n,nonent_genes_n
CD,Rall,0,0,1700,219,1481,164,1143,55,338,1448,252,1307,393
CD,Rall,0,10,884,172,712,122,479,50,233,646,238,601,283
CD,Rall,0,20,652,154,498,109,340,45,158,425,227,449,203
CD,Rall,0,30,517,131,386,92,263,39,123,299,218,355,162
CD,Rall,0,40,412,110,302,78,202,32,100,207,205,280,132
CD,Rall,0,50,307,87,220,59,152,28,68,131,176,211,96
CD,Rall,0,60,234,64,170,44,116,20,54,85,149,160,74
CD,Rall,0,70,145,36,109,25,72,11,37,42,103,97,48
CD,Rall,0,80,74,18,56,11,42,7,14,17,57,53,21
CD,Rall,0,90,15,3,12,2,8,1,4,4,11,10,5
CD,Rall,10,0,1700,219,1481,164,1143,55,338,1448,252,1307,393
CD,Rall,10,10,884,172,712,122,479,50,233,646,238,601,283
CD,Rall,10,20,652,154,498,109,340,45,158,425,227,449,203
CD,Rall,10,30,517,131,386,92,263,39,123,299,218,355,162
CD,Rall,10,40,412,110,302,78,202,32,100,207,205,280,132
CD,Rall,10,50,307,87,220,59,152,28,68,131,176,211,96
CD,Rall,10,60,234,64,170,44,116,20,54,85,149,160,74
CD,Rall,10,70,145,36,109,25,72,11,37,42,103,97,48
CD,Rall,10,80,74,18,56,11,42,7,14,17,57,53,21
CD,Rall,10,90,15,3,12,2,8,1,4,4,11,10,5
CD,Rall,20,0,1359,201,1158,149,894,52,264,1108,251,1043,316
CD,Rall,20,10,826,171,655,122,458,49,197,588,238,580,246
CD,Rall,20,20,640,154,486,109,339,45,147,413,227,448,192
CD,Rall,20,30,514,131,383,92,263,39,120,296,218,355,159
CD,Rall,20,40,411,110,301,78,202,32,99,206,205,280,131
CD,Rall,20,50,307,87,220,59,152,28,68,131,176,211,96
CD,Rall,20,60,234,64,170,44,116,20,54,85,149,160,74
CD,Rall,20,70,145,36,109,25,72,11,37,42,103,97,48
CD,Rall,20,80,74,18,56,11,42,7,14,17,57,53,21
CD,Rall,20,90,15,3,12,2,8,1,4,4,11,10,5
CD,Rall,30,0,1190,189,1001,138,780,51,221,944,246,918,272
CD,Rall,30,10,785,169,616,120,440,49,176,550,235,560,225
CD,Rall,30,20,628,154,474,109,336,45,138,403,225,445,183
CD,Rall,30,30,507,131,376,92,262,39,114,291,216,354,153
CD,Rall,30,40,407,110,297,78,202,32,95,203,204,280,127
CD,Rall,30,50,306,87,219,59,152,28,67,131,175,211,95
CD,Rall,30,60,233,64,169,44,116,20,53,85,148,160,73
CD,Rall,30,70,144,36,108,25,72,11,36,42,102,97,47
CD,Rall,30,80,74,18,56,11,42,7,14,17,57,53,21
CD,Rall,30,90,15,3,12,2,8,1,4,4,11,10,5
CD,Rall,40,0,1017,180,837,133,652,47,185,774,243,785,232
CD,Rall,40,10,737,165,572,119,416,46,156,502,235,535,202
CD,Rall,40,20,608,152,456,109,330,43,126,383,225,439,169
CD,Rall,40,30,500,130,370,92,261,38,109,284,216,353,147
CD,Rall,40,40,403,110,293,78,202,32,91,199,204,280,123
CD,Rall,40,50,305,87,218,59,152,28,66,130,175,211,94
CD,Rall,40,60,232,64,168,44,116,20,52,84,148,160,72
CD,Rall,40,70,144,36,108,25,72,11,36,42,102,97,47
CD,Rall,40,80,74,18,56,11,42,7,14,17,57,53,21
CD,Rall,40,90,15,3,12,2,8,1,4,4,11,10,5
CD,Rall,50,0,849,173,676,126,522,47,154,614,235,648,201
CD,Rall,50,10,662,162,500,116,368,46,132,433,229,484,178
CD,Rall,50,20,579,150,429,107,316,43,113,357,222,423,156
CD,Rall,50,30,493,130,363,92,259,38,104,278,215,351,142
CD,Rall,50,40,398,110,288,78,200,32,88,194,204,278,120
CD,Rall,50,50,302,87,215,59,151,28,64,127,175,210,92
CD,Rall,50,60,231,64,167,44,115,20,52,83,148,159,72
CD,Rall,50,70,144,36,108,25,72,11,36,42,102,97,47
CD,Rall,50,80,74,18,56,11,42,7,14,17,57,53,21
CD,Rall,50,90,15,3,12,2,8,1,4,4,11,10,5
CD,Rall,60,0,680,155,525,110,410,45,115,454,226,520,160
CD,Rall,60,10,563,146,417,102,315,44,102,339,224,417,146
CD,Rall,60,20,513,139,374,97,284,42,90,293,220,381,132
CD,Rall,60,30,453,127,326,89,242,38,84,240,213,331,122
CD,Rall,60,40,376,109,267,77,192,32,75,173,203,269,107
CD,Rall,60,50,290,87,203,59,148,28,55,116,174,207,83
CD,Rall,60,60,223,64,159,44,113,20,46,75,148,157,66
CD,Rall,60,70,139,36,103,25,71,11,32,37,102,96,43
CD,Rall,60,80,73,18,55,11,42,7,13,16,57,53,20
CD,Rall,60,90,14,3,11,2,8,1,3,3,11,10,4
CD,Rall,70,0,512,128,384,89,297,39,87,299,213,386,126
CD,Rall,70,10,446,124,322,86,242,38,80,235,211,328,118
CD,Rall,70,20,425,124,301,86,228,38,73,217,208,314,111
CD,Rall,70,30,393,115,278,80,207,35,71,190,203,287,106
CD,Rall,70,40,344,104,240,73,176,31,64,149,195,249,95
CD,Rall,70,50,273,86,187,58,139,28,48,103,170,197,76
CD,Rall,70,60,210,63,147,43,107,20,40,65,145,150,60
CD,Rall,70,70,132,36,96,25,68,11,28,32,100,93,39
CD,Rall,70,80,71,18,53,11,42,7,11,15,56,53,18
CD,Rall,70,90,14,3,11,2,8,1,3,3,11,10,4
CD,Rall,80,0,340,101,239,68,185,33,54,161,179,253,87
CD,Rall,80,10,311,100,211,67,160,33,51,133,178,227,84
CD,Rall,80,20,303,100,203,67,155,33,48,125,178,222,81
CD,Rall,80,30,289,95,194,64,146,31,48,112,177,210,79
CD,Rall,80,40,265,89,176,59,130,30,46,93,172,189,76
CD,Rall,80,50,230,78,152,51,115,27,37,74,156,166,64
CD,Rall,80,60,185,57,128,38,95,19,33,51,134,133,52
CD,Rall,80,70,123,33,90,23,65,10,25,27,96,88,35
CD,Rall,80,80,66,16,50,10,41,6,9,12,54,51,15
CD,Rall,80,90,13,3,10,2,8,1,2,2,11,10,3
CD,Rall,90,0,169,58,111,37,90,21,21,53,116,127,42
CD,Rall,90,10,160,58,102,37,83,21,19,45,115,120,40
CD,Rall,90,20,158,58,100,37,81,21,19,43,115,118,40
CD,Rall,90,30,156,58,98,37,79,21,19,41,115,116,40
CD,Rall,90,40,151,57,94,36,75,21,19,38,113,111,40
CD,Rall,90,50,140,52,88,31,71,21,17,33,107,102,38
CD,Rall,90,60,124,43,81,27,64,16,17,27,97,91,33
CD,Rall,90,70,92,30,62,20,48,10,14,16,76,68,24
CD,Rall,90,80,57,16,41,10,34,6,7,10,47,44,13
CD,Rall,90,90,13,3,10,2,8,1,2,2,11,10,3
CG,Rall,0,0,1834,222,1612,163,1237,59,375,1501,333,1400,434
CG,Rall,0,10,1082,188,894,134,633,54,261,775,307,767,315
CG,Rall,0,20,815,166,649,119,470,47,179,516,299,589,226
CG,Rall,0,30,647,151,496,109,357,42,139,366,281,466,181
CG,Rall,0,40,515,127,388,93,284,34,104,262,253,377,138
CG,Rall,0,50,403,100,303,73,227,27,76,182,221,300,103
CG,Rall,0,60,300,78,222,57,168,21,54,115,185,225,75
CG,Rall,0,70,184,52,132,40,98,12,34,55,129,138,46
CG,Rall,0,80,78,20,58,15,43,5,15,16,62,58,20
CG,Rall,0,90,18,4,14,3,10,1,4,3,15,13,5
CG,Rall,10,0,1834,222,1612,163,1237,59,375,1501,333,1400,434
CG,Rall,10,10,1082,188,894,134,633,54,261,775,307,767,315
CG,Rall,10,20,815,166,649,119,470,47,179,516,299,589,226
CG,Rall,10,30,647,151,496,109,357,42,139,366,281,466,181
CG,Rall,10,40,515,127,388,93,284,34,104,262,253,377,138
CG,Rall,10,50,403,100,303,73,227,27,76,182,221,300,103
CG,Rall,10,60,300,78,222,57,168,21,54,115,185,225,75
CG,Rall,10,70,184,52,132,40,98,12,34,55,129,138,46
CG,Rall,10,80,78,20,58,15,43,5,15,16,62,58,20
CG,Rall,10,90,18,4,14,3,10,1,4,3,15,13,5
CG,Rall,20,0,1469,203,1266,148,967,55,299,1143,326,1115,354
CG,Rall,20,10,1018,184,834,132,609,52,225,712,306,741,277
CG,Rall,20,20,800,166,634,119,467,47,167,501,299,586,214
CG,Rall,20,30,643,151,492,109,357,42,135,362,281,466,177
CG,Rall,20,40,513,127,386,93,284,34,102,260,253,377,136
CG,Rall,20,50,403,100,303,73,227,27,76,182,221,300,103
CG,Rall,20,60,300,78,222,57,168,21,54,115,185,225,75
CG,Rall,20,70,184,52,132,40,98,12,34,55,129,138,46
CG,Rall,20,80,78,20,58,15,43,5,15,16,62,58,20
CG,Rall,20,90,18,4,14,3,10,1,4,3,15,13,5
CG,Rall,30,0,1283,195,1088,141,838,54,250,964,319,979,304
CG,Rall,30,10,966,183,783,132,585,51,198,663,303,717,249
CG,Rall,30,20,788,166,622,119,463,47,159,492,296,582,206
CG,Rall,30,30,639,151,488,109,356,42,132,361,278,465,174
CG,Rall,30,40,511,127,384,93,284,34,100,260,251,377,134
CG,Rall,30,50,401,100,301,73,227,27,74,182,219,300,101
CG,Rall,30,60,298,78,220,57,168,21,52,115,183,225,73
CG,Rall,30,70,184,52,132,40,98,12,34,55,129,138,46
CG,Rall,30,80,78,20,58,15,43,5,15,16,62,58,20
CG,Rall,30,90,18,4,14,3,10,1,4,3,15,13,5
CG,Rall,40,0,1099,182,917,130,709,52,208,788,311,839,260
CG,Rall,40,10,887,178,709,128,539,50,170,586,301,667,220
CG,Rall,40,20,764,166,598,119,454,47,144,470,294,573,191
CG,Rall,40,30,632,151,481,109,354,42,127,354,278,463,169
CG,Rall,40,40,510,127,383,93,284,34,99,259,251,377,133
CG,Rall,40,50,400,100,300,73,227,27,73,181,219,300,100
CG,Rall,40,60,298,78,220,57,168,21,52,115,183,225,73
CG,Rall,40,70,184,52,132,40,98,12,34,55,129,138,46
CG,Rall,40,80,78,20,58,15,43,5,15,16,62,58,20
CG,Rall,40,90,18,4,14,3,10,1,4,3,15,13,5
CG,Rall,50,0,923,167,756,123,588,44,168,623,300,711,212
CG,Rall,50,10,795,164,631,122,488,42,143,503,292,610,185
CG,Rall,50,20,714,158,556,116,429,42,127,424,290,545,169
CG,Rall,50,30,611,147,464,108,346,39,118,337,274,454,157
CG,Rall,50,40,504,127,377,93,283,34,94,254,250,376,128
CG,Rall,50,50,399,100,299,73,227,27,72,180,219,300,99
CG,Rall,50,60,297,78,219,57,168,21,51,114,183,225,72
CG,Rall,50,70,184,52,132,40,98,12,34,55,129,138,46
CG,Rall,50,80,78,20,58,15,43,5,15,16,62,58,20
CG,Rall,50,90,18,4,14,3,10,1,4,3,15,13,5
CG,Rall,60,0,740,155,585,112,469,43,116,459,281,581,159
CG,Rall,60,10,663,153,510,112,407,41,103,385,278,519,144
CG,Rall,60,20,629,150,479,109,378,41,101,352,277,487,142
CG,Rall,60,30,568,142,426,104,328,38,98,302,266,432,136
CG,Rall,60,40,484,126,358,92,275,34,83,237,247,367,117
CG,Rall,60,50,389,100,289,73,221,27,68,171,218,294,95
CG,Rall,60,60,291,78,213,57,163,21,50,109,182,220,71
CG,Rall,60,70,184,52,132,40,98,12,34,55,129,138,46
CG,Rall,60,80,78,20,58,15,43,5,15,16,62,58,20
CG,Rall,60,90,18,4,14,3,10,1,4,3,15,13,5
CG,Rall,70,0,555,133,422,97,341,36,81,300,255,438,117
CG,Rall,70,10,515,132,383,97,306,35,77,262,253,403,112
CG,Rall,70,20,499,130,369,95,293,35,76,247,252,388,111
CG,Rall,70,30,468,124,344,91,269,33,75,224,244,360,108
CG,Rall,70,40,417,111,306,81,241,30,65,183,234,322,95
CG,Rall,70,50,350,94,256,70,202,24,54,141,209,272,78
CG,Rall,70,60,270,76,194,56,152,20,42,93,177,208,62
CG,Rall,70,70,171,51,120,40,92,11,28,47,124,132,39
CG,Rall,70,80,77,20,57,15,43,5,14,15,62,58,19
CG,Rall,70,90,18,4,14,3,10,1,4,3,15,13,5
CG,Rall,80,0,370,105,265,73,213,32,52,161,209,286,84
CG,Rall,80,10,351,104,247,73,196,31,51,143,208,269,82
CG,Rall,80,20,344,103,241,72,191,31,50,136,208,263,81
CG,Rall,80,30,333,101,232,71,182,30,50,128,205,253,80
CG,Rall,80,40,308,96,212,68,169,28,43,105,203,237,71
CG,Rall,80,50,277,85,192,61,154,24,38,88,189,215,62
CG,Rall,80,60,231,71,160,51,128,20,32,61,170,179,52
CG,Rall,80,70,154,49,105,38,83,11,22,33,121,121,33
CG,Rall,80,80,74,20,54,15,42,5,12,12,62,57,17
CG,Rall,80,90,18,4,14,3,10,1,4,3,15,13,5
CG,Rall,90,0,184,60,124,40,99,20,25,51,133,139,45
CG,Rall,90,10,176,59,117,40,93,19,24,44,132,133,43
CG,Rall,90,20,174,59,115,40,91,19,24,42,132,131,43
CG,Rall,90,30,171,59,112,40,88,19,24,40,131,128,43
CG,Rall,90,40,162,58,104,40,84,18,20,31,131,124,38
CG,Rall,90,50,151,56,95,39,79,17,16,27,124,118,33
CG,Rall,90,60,137,47,90,33,74,14,16,19,118,107,30
CG,Rall,90,70,106,37,69,29,57,8,12,12,94,86,20
CG,Rall,90,80,57,17,40,13,33,4,7,6,51,46,11
CG,Rall,90,90,14,3,11,2,10,1,1,2,12,12,2
C,Rall,0,0,2010,232,1778,170,1369,62,409,1310,700,1539,471
C,Rall,0,10,1147,194,953,139,679,55,274,514,633,818,329
C,Rall,0,20,920,180,740,130,538,50,202,314,606,668,252
C,Rall,0,30,792,164,628,117,459,47,169,224,568,576,216
C,Rall,0,40,668,152,516,109,372,43,144,147,521,481,187
C,Rall,0,50,554,138,416,98,303,40,113,91,463,401,153
C,Rall,0,60,416,105,311,77,229,28,82,55,361,306,110
C,Rall,0,70,281,71,210,54,154,17,56,27,254,208,73
C,Rall,0,80,140,39,101,29,74,10,27,5,135,103,37
C,Rall,0,90,39,6,33,4,22,2,11,2,37,26,13
C,Rall,10,0,2010,232,1778,170,1369,62,409,1310,700,1539,471
C,Rall,10,10,1147,194,953,139,679,55,274,514,633,818,329
C,Rall,10,20,920,180,740,130,538,50,202,314,606,668,252
C,Rall,10,30,792,164,628,117,459,47,169,224,568,576,216
C,Rall,10,40,668,152,516,109,372,43,144,147,521,481,187
C,Rall,10,50,554,138,416,98,303,40,113,91,463,401,153
C,Rall,10,60,416,105,311,77,229,28,82,55,361,306,110
C,Rall,10,70,281,71,210,54,154,17,56,27,254,208,73
C,Rall,10,80,140,39,101,29,74,10,27,5,135,103,37
C,Rall,10,90,39,6,33,4,22,2,11,2,37,26,13
C,Rall,20,0,1611,207,1404,151,1088,56,316,929,682,1239,372
C,Rall,20,10,1087,189,898,137,659,52,239,455,632,796,291
C,Rall,20,20,907,179,728,130,535,49,193,302,605,665,242
C,Rall,20,30,788,164,624,117,458,47,166,221,567,575,213
C,Rall,20,40,667,152,515,109,372,43,143,147,520,481,186
C,Rall,20,50,554,138,416,98,303,40,113,91,463,401,153
C,Rall,20,60,416,105,311,77,229,28,82,55,361,306,110
C,Rall,20,70,281,71,210,54,154,17,56,27,254,208,73
C,Rall,20,80,140,39,101,29,74,10,27,5,135,103,37
C,Rall,20,90,39,6,33,4,22,2,11,2,37,26,13
C,Rall,30,0,1411,199,1212,146,929,53,283,750,661,1075,336
C,Rall,30,10,1037,187,850,136,629,51,221,411,626,765,272
C,Rall,30,20,894,179,715,130,527,49,188,291,603,657,237
C,Rall,30,30,785,164,621,117,456,47,165,218,567,573,212
C,Rall,30,40,665,152,513,109,371,43,142,145,520,480,185
C,Rall,30,50,553,138,415,98,303,40,112,90,463,401,152
C,Rall,30,60,415,105,310,77,229,28,81,54,361,306,109
C,Rall,30,70,281,71,210,54,154,17,56,27,254,208,73
C,Rall,30,80,140,39,101,29,74,10,27,5,135,103,37
C,Rall,30,90,39,6,33,4,22,2,11,2,37,26,13
C,Rall,40,0,1209,194,1015,141,777,53,238,572,637,918,291
C,Rall,40,10,982,186,796,135,596,51,200,366,616,731,251
C,Rall,40,20,872,178,694,129,518,49,176,275,597,647,225
C,Rall,40,30,774,164,610,117,451,47,159,209,565,568,206
C,Rall,40,40,661,152,509,109,371,43,138,142,519,480,181
C,Rall,40,50,553,138,415,98,303,40,112,90,463,401,152
C,Rall,40,60,415,105,310,77,229,28,81,54,361,306,109
C,Rall,40,70,281,71,210,54,154,17,56,27,254,208,73
C,Rall,40,80,140,39,101,29,74,10,27,5,135,103,37
C,Rall,40,90,39,6,33,4,22,2,11,2,37,26,13
C,Rall,50,0,1009,175,834,127,650,48,184,399,610,777,232
C,Rall,50,10,862,173,689,125,526,48,163,267,595,651,211
C,Rall,50,20,806,169,637,122,486,47,151,223,583,608,198
C,Rall,50,30,737,160,577,115,437,45,140,184,553,552,185
C,Rall,50,40,644,151,493,109,369,42,124,134,510,478,166
C,Rall,50,50,544,138,406,98,302,40,104,87,457,400,144
C,Rall,50,60,411,105,306,77,228,28,78,53,358,305,106
C,Rall,50,70,279,71,208,54,154,17,54,27,252,208,71
C,Rall,50,80,140,39,101,29,74,10,27,5,135,103,37
C,Rall,50,90,39,6,33,4,22,2,11,2,37,26,13
C,Rall,60,0,810,165,645,122,504,43,141,260,550,626,184
C,Rall,60,10,739,164,575,121,447,43,128,193,546,568,171
C,Rall,60,20,713,161,552,119,427,42,125,171,542,546,167
C,Rall,60,30,675,155,520,114,400,41,120,150,525,514,161
C,Rall,60,40,603,147,456,109,348,38,108,112,491,457,146
C,Rall,60,50,524,135,389,98,294,37,95,77,447,392,132
C,Rall,60,60,402,104,298,77,226,27,72,48,354,303,99
C,Rall,60,70,275,70,205,54,153,16,52,25,250,207,68
C,Rall,60,80,139,38,101,29,74,9,27,5,134,103,36
C,Rall,60,90,39,6,33,4,22,2,11,2,37,26,13
C,Rall,70,0,608,142,466,101,367,41,99,143,465,468,140
C,Rall,70,10,569,142,427,101,335,41,92,105,464,436,133
C,Rall,70,20,554,141,413,101,323,40,90,91,463,424,130
C,Rall,70,30,538,139,399,99,311,40,88,81,457,410,128
C,Rall,70,40,504,136,368,98,285,38,83,65,439,383,121
C,Rall,70,50,461,126,335,89,259,37,76,54,407,348,113
C,Rall,70,60,369,99,270,72,212,27,58,36,333,284,85
C,Rall,70,70,261,68,193,52,148,16,45,19,242,200,61
C,Rall,70,80,134,38,96,29,71,9,25,3,131,100,34
C,Rall,70,90,37,6,31,4,21,2,10,1,36,25,12
C,Rall,80,0,405,113,292,79,234,34,58,57,348,313,92
C,Rall,80,10,389,113,276,79,222,34,54,41,348,301,88
C,Rall,80,20,383,113,270,79,218,34,52,35,348,297,86
C,Rall,80,30,376,112,264,78,213,34,51,32,344,291,85
C,Rall,80,40,364,110,254,78,205,32,49,24,340,283,81
C,Rall,80,50,349,106,243,75,196,31,47,22,327,271,78
C,Rall,80,60,301,88,213,65,174,23,39,15,286,239,62
C,Rall,80,70,225,65,160,50,130,15,30,10,215,180,45
C,Rall,80,80,120,38,82,29,65,9,17,0,120,94,26
C,Rall,80,90,31,6,25,4,19,2,6,0,31,23,8
C,Rall,90,0,201,77,124,52,101,25,23,13,188,153,48
C,Rall,90,10,197,77,120,52,99,25,21,9,188,151,46
C,Rall,90,20,196,77,119,52,98,25,21,8,188,150,46
C,Rall,90,30,195,77,118,52,97,25,21,8,187,149,46
C,Rall,90,40,193,77,116,52,95,25,21,7,186,147,46
C,Rall,90,50,188,75,113,50,93,25,20,7,181,143,45
C,Rall,90,60,173,66,107,46,89,20,18,5,168,135,38
C,Rall,90,70,146,50,96,38,82,12,14,2,144,120,26
C,Rall,90,80,95,34,61,25,51,9,10,0,95,76,19
C,Rall,90,90,26,5,21,3,18,2,3,0,26,21,5
